"","path","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",8,817140,"0.0-2.0-6.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"29830","Okinawa_large_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,1,2,4,2,1,3,1,"38751","34","male","man","","caucasian","","No","",""
"2","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",9,834924,"0.0-2.0-7.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"17768","Toyama_large_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",1,2,4,3,3,3,3,1,"38751","34","male","man","","caucasian","","No","",""
"3","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",10,852381,"0.0-2.0-8.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"17448","Toyama_large_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,3,4,2,4,3,3,1,"38751","34","male","man","","caucasian","","No","",""
"4","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",11,868908,"0.0-2.0-9.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"16518","Toyama_small_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,4,5,3,4,2,2,1,"38751","34","male","man","","caucasian","","No","",""
"5","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",12,1024620,"0.0-2.0-10.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"155702","Niigata_large_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,5,3,4,3,4,4,1,"38751","34","male","man","","caucasian","","No","",""
"6","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",13,1051701,"0.0-2.0-11.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"27069","Ishikawa_large_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,6,3,3,3,2,2,1,"38751","34","male","man","","caucasian","","No","",""
"7","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",14,1095734,"0.0-2.0-12.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"44023","Niigata_middle_pos_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,7,4,5,3,4,4,1,"38751","34","male","man","","caucasian","","No","",""
"8","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",15,1109961,"0.0-2.0-13.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"14218","Akita_middle_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,8,3,3,2,2,2,1,"38751","34","male","man","","caucasian","","No","",""
"9","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",16,1127786,"0.0-2.0-14.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"17813","Kanagawa_large_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,9,5,4,3,2,3,1,"38751","34","male","man","","caucasian","","No","",""
"10","/Users/npcamp/GitHub/perceptual-affordance-Lee_Thesis/data/perceptual-affordance-Lee_Thesis_c-undefined_p-5588d532fdf99b304ee567b9_s-65565c33d1570099995f3126_SESSION_2023-11-16_13h13.17.180.csv","5588d532fdf99b304ee567b9","svTrial","survey",17,1147225,"0.0-2.0-15.0","65553732575bb29198a888d7","65565c33d1570099995f3126",2,"19430","Hokkaido_middle_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,10,2,3,2,2,2,1,"38751","34","male","man","","caucasian","","No","",""
