cluster_idx,img_num,center_lat,center_lng,sampled_lat,sampled_lng,pulled_lat,pulled_lng,pulled_panoid,image_url,attempts_count
1,1,31.9215913,131.4378406,31.913337550017197,131.43438017180978,31.91342368610156,131.4356578952585,cP4oo3--KzBvhCYqdl1j2A,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=31.913337550017197,131.43438017180978&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
1,2,31.9215913,131.4378406,31.920242847912697,131.43770961161232,31.92022962739381,131.4375231904662,mponnoCKFXSV47K4CRLp6A,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=31.920242847912697,131.43770961161232&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
1,3,31.9215913,131.4378406,31.920838697465705,131.4370710864931,31.92082805818929,131.4370812750022,mE7RSLql8N-wH5haa_oLuw,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=31.920838697465705,131.4370710864931&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
1,4,31.9215913,131.4378406,31.92143669660156,131.43523397994676,31.92153522312012,131.434886920822,l7SRisbxlfaVAExOrpxkIA,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=31.92143669660156,131.43523397994676&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
1,5,31.9215913,131.4378406,31.915386573235608,131.4390078945587,31.91543394707925,131.438956145472,9mA_An1jUOBNFKbDq4eb6w,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=31.915386573235608,131.4390078945587&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
1,6,31.9215913,131.4378406,31.918499781259143,131.43205629149213,31.91881110879705,131.4320468866041,9P68y3JO7BzENH1Odvi6SA,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=31.918499781259143,131.43205629149213&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
1,7,31.9215913,131.4378406,31.91946298829128,131.43808288444373,31.91942234535299,131.4381067028935,zVJjfqt0gGIbz0rEK9kDog,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=31.91946298829128,131.43808288444373&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
1,8,31.9215913,131.4378406,31.92146067811843,131.43873796088255,31.92130550345871,131.438957291088,8vu8j6hpbWD59nqhwZ8BUw,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=31.92146067811843,131.43873796088255&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
2,1,32.0425972,131.47283,32.04589813271955,131.46382235865568,32.04592395157736,131.4638578415781,nMQfJ0xeasNIGoVP9ha3Kw,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=32.04589813271955,131.46382235865568&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
2,2,32.0425972,131.47283,32.040748722465054,131.4773397712928,32.04072944850823,131.477128579247,pTNmtWl858njKmSkOHKhog,"https://maps.googleapis.com/maps/api/streetview?size=600x400&heading=180&fov=90&location=32.040748722465054,131.4773397712928&radius=100&source=outdoor&key=AIzaSyAfm12v-rexdnYUQbolt5X2ieNGdEDTpsM",1
